year,ccci,month
2021,7090,1
2021,7102,2
2021,7130,3
2021,7150,4
2021,7712,5
2021,7746,6
2021,7892,7
2021,8122,8
2021,7900,9
2021,8080,10
2021,8141,11
2021,8072,12
2022,8151,1
2022,8293,2
2022,8736,3
2022,8903,4
2022,9001,5
2022,8925,6
2022,9110,7
2022,8729,8
2022,8604,9
2022,8712,10
2022,8765,11
2022,8823,12
2023,9246,1
2023,9166,2
2023,9118,3
2023,9026,4
2023,9621,5
2023,9508,6
2023,9526,7
2023,9560,8
2023,9592,9
2023,9654,10
2023,9682,11
2023,9654,12
2024,9680,1
2024,9692,2
2024,9660,3
2024,9688,4
2024,9655,5
2024,9651,6
2024,9646,7
2024,9749,8
2024,9751,9
2024,9785,10
2024,9866,11
2024,9876,12
2025,9911,1
2025,9922,2
2025,9994,3
